Team Name,Year,Wins,Losses,Win %
Boston Bruins,1990,44,24,0.55
Buffalo Sabres,1990,31,30,0.388
Calgary Flames,1990,46,26,0.575
Chicago Blackhawks,1990,49,23,0.613
Detroit Red Wings,1990,34,38,0.425
Edmonton Oilers,1990,37,37,0.463
Hartford Whalers,1990,31,38,0.388
Los Angeles Kings,1990,46,24,0.575
Minnesota North Stars,1990,27,39,0.338
Montreal Canadiens,1990,39,30,0.487
New Jersey Devils,1990,32,33,0.4
New York Islanders,1990,25,45,0.312
New York Rangers,1990,36,31,0.45
Philadelphia Flyers,1990,33,37,0.412
Pittsburgh Penguins,1990,41,33,0.512
Quebec Nordiques,1990,16,50,0.2
St. Louis Blues,1990,47,22,0.588
Toronto Maple Leafs,1990,23,46,0.287
Vancouver Canucks,1990,28,43,0.35
Washington Capitals,1990,37,36,0.463
Winnipeg Jets,1990,26,43,0.325
Boston Bruins,1991,36,32,0.45
Buffalo Sabres,1991,31,37,0.388
Calgary Flames,1991,31,37,0.388
Chicago Blackhawks,1991,36,29,0.45
Detroit Red Wings,1991,43,25,0.537
Edmonton Oilers,1991,36,34,0.45
Hartford Whalers,1991,26,41,0.325
Los Angeles Kings,1991,35,31,0.438
Minnesota North Stars,1991,32,42,0.4
Montreal Canadiens,1991,41,28,0.512
New Jersey Devils,1991,38,31,0.475
New York Islanders,1991,34,35,0.425
New York Rangers,1991,50,25,0.625
Philadelphia Flyers,1991,32,37,0.4
Pittsburgh Penguins,1991,39,32,0.487
Quebec Nordiques,1991,20,48,0.25
San Jose Sharks,1991,17,58,0.212
St. Louis Blues,1991,36,33,0.45
Toronto Maple Leafs,1991,30,43,0.375
Vancouver Canucks,1991,42,26,0.525
Washington Capitals,1991,45,27,0.562
Winnipeg Jets,1991,33,32,0.412
Boston Bruins,1992,51,26,0.607
Buffalo Sabres,1992,38,36,0.452
Calgary Flames,1992,43,30,0.512
Chicago Blackhawks,1992,47,25,0.56
Detroit Red Wings,1992,47,28,0.56
Edmonton Oilers,1992,26,50,0.31
Hartford Whalers,1992,26,52,0.31
Los Angeles Kings,1992,39,35,0.464
Minnesota North Stars,1992,36,38,0.429
Montreal Canadiens,1992,48,30,0.571
New Jersey Devils,1992,40,37,0.476
New York Islanders,1992,40,37,0.476
